var,x,y,y_lower,y_upper
weekend,0.0,-0.001029027646432798,-0.00106675880218588,-0.000991296490679716
weekend,1.0,0.001070385695380335,0.0010331379695382834,0.0011076334212223866
weekday,0.0,0.0010596818384265155,0.0010228065898428848,0.0010965570870101462
weekday,1.0,-0.0010187373699684522,-0.0010560912141640174,-0.000981383525772887
non_holiday,0.0,-0.0035581409255394693,-0.003589778801072888,-0.0035265030500060504
non_holiday,1.0,0.0031253226585669577,0.003106102337520162,0.0031445429796137536
holiday,0.0,0.0030940694319812802,0.003075041314144973,0.0031130975498175873
holiday,1.0,-0.0035225595162840656,-0.0035538810130621517,-0.0034912380195059795
number_of_locations,2.9999999999999982,-0.013485852479103791,-0.01357359470493966,-0.013398110253267922
number_of_locations,3.5,-0.010122308285572066,-0.010199351025385748,-0.010045265545758384
number_of_locations,4.5,-0.005208718890374826,-0.005381107657908116,-0.005036330122841536
number_of_locations,5.5,-0.0027896006886201728,-0.002935048529818003,-0.0026441528474223427
number_of_locations,6.5,0.0010146889474543005,0.0006794198889013711,0.00134995800600723
number_of_locations,7.5,0.004034083914935569,0.0038035560508609297,0.0042646117790102085
number_of_locations,8.5,0.006310992959213297,0.006200901773406092,0.006421084145020502
number_of_locations,9.5,0.007385145888536431,0.007254801621672394,0.007515490155400468
number_of_locations,10.5,0.007552758503463777,0.007437627814901611,0.0076678891920259435
number_of_locations,11.5,0.007552758503463777,0.007437627814901611,0.0076678891920259435
number_of_locations,12.5,0.007571800065413248,0.007465016106445096,0.007678584024381399
number_of_locations,13.5,0.007571800065413248,0.007465016106445096,0.007678584024381399
number_of_locations,14.5,0.007571800065413248,0.007465016106445096,0.007678584024381399
number_of_locations,15.5,0.007979917713538905,0.007725128504533815,0.008234706922543994
number_of_locations,16.5,0.007979917713538905,0.007725128504533815,0.008234706922543994
number_of_locations,17.5,0.007979917713538905,0.007725128504533815,0.008234706922543994
number_of_locations,18.5,0.007797516513048244,0.007685584654067854,0.007909448372028633
number_of_locations,19.5,0.007797516513048244,0.007685584654067854,0.007909448372028633
number_of_locations,20.5,0.007797516513048244,0.007685584654067854,0.007909448372028633
number_of_locations,21.5,0.007625962535953872,0.007535483473466232,0.007716441598441511
number_of_locations,22.5,0.007625962535953872,0.007535483473466232,0.007716441598441511
number_of_locations,23.5,0.007625962535953872,0.007535483473466232,0.007716441598441511
number_of_locations,24.5,0.007625962535953872,0.007535483473466232,0.007716441598441511
number_of_locations,25.5,0.007625962535953872,0.007535483473466232,0.007716441598441511
number_of_locations,26.5,0.007625962535953872,0.007535483473466232,0.007716441598441511
number_of_locations,27.5,0.007625962535953872,0.007535483473466232,0.007716441598441511
number_of_locations,28.5,0.007625962535953872,0.007535483473466232,0.007716441598441511
