Residential,Experienced,Share
D,D,0.29141579593138794
D,F,0.05121181061825451
D,N,0.6573723934503576
F,D,0.006529833619333574
F,F,0.815137672339831
F,N,0.17833249404083534
N,D,0.039135107760505765
N,F,0.24586838686561266
N,N,0.7149965053738816
