percentile,xDelta,yDelta,tDelta,displacement
0.1,0.0,0.0,5.0,0.0
0.3,0.0,0.0,9.0,0.0
0.5,0.0,0.0,14.0,0.0
0.7,0.0,0.0,20.0,0.0
0.9,0.030941338860429823,0.057062395848333836,112.0,17.047939860196486
0.91,0.04894247744232416,0.1137405214831233,137.0,66.52130557109852
0.911,0.04894247744232416,0.1137405214831233,141.0,66.52130557109852
0.912,0.04894247744232416,0.1137405214831233,141.0,66.52130557109852
0.913,0.04894247744232416,0.1137405214831233,141.0,66.52130557109852
0.914,0.05651262908941135,0.1613953560590744,141.0,110.48741897021992
0.915,0.05651262908941135,0.1613953560590744,148.0,110.48741897021992
0.916,0.05651262908941135,0.1613953560590744,148.0,110.48741897021992
0.917,0.05651262908941135,0.1613953560590744,148.0,117.64793834342912
0.918,0.05651262908941135,0.1613953560590744,148.0,117.64793834342912
0.919,0.14177784870844334,0.23268934525549412,148.0,120.29381426209689
0.92,0.14177784870844334,0.23268934525549412,167.0,126.12007631095534
0.921,0.14177784870844334,0.23268934525549412,167.0,126.12007631095534
0.922,0.14177784870844334,0.4468820337206125,167.0,126.12007631095534
0.923,0.14177784870844334,0.4468820337206125,167.0,126.12007631095534
0.924,0.2366240241099149,0.4468820337206125,300.0,126.12007631095534
0.925,0.30267744045704603,0.4468820337206125,300.0,126.52031368538542
0.926,0.30267744045704603,0.7854531612247229,300.0,126.52031368538542
0.927,0.30267744045704603,0.7854531612247229,300.0,126.52031368538542
0.928,0.30267744045704603,0.7854531612247229,300.0,138.8649503280852
0.929,0.30267744045704603,0.7854531612247229,314.0,138.8649503280852
0.93,0.7725507416762412,0.7854531612247229,314.0,138.8649503280852
0.931,0.7725507416762412,0.8282569935545325,314.0,156.25661414650588
0.932,0.7725507416762412,0.8282569935545325,314.0,156.25661414650588
0.933,0.7725507416762412,0.8282569935545325,336.0,156.25661414650588
0.934,0.9526415372383781,0.8282569935545325,336.0,156.25661414650588
0.935,0.9526415372383781,0.8282569935545325,336.0,166.59072356312856
0.936,0.9526415372383781,2.0532368635758758,336.0,166.59072356312856
0.937,0.9526415372383781,2.1145017659291625,351.0,166.59072356312856
0.938,0.9694479599129409,2.1145017659291625,351.0,166.59072356312856
0.939,0.9694479599129409,2.1145017659291625,351.0,166.59072356312856
0.94,0.9694479599129409,2.1145017659291625,361.0,185.41218714860904
0.941,0.9694479599129409,2.1145017659291625,361.0,187.30382512827475
0.942,0.9694479599129409,2.6227250089868903,377.0,187.30382512827475
0.943,1.5517752455780283,2.6227250089868903,377.0,187.30382512827475
0.944,1.5517752455780283,3.340527981519699,377.0,187.30382512827475
0.945,1.5517752455780283,3.340527981519699,377.0,376.5677090844447
0.946,1.5517752455780283,3.340527981519699,479.0,376.5677090844447
0.947,1.5517752455780283,3.340527981519699,479.0,485.93091608789524
0.948,1.936643754830584,3.340527981519699,479.0,485.93091608789524
0.949,1.936643754830584,8.667494836263359,603.0,485.93091608789524
0.95,483798.02665330295,6429420.908377424,17463634.0,6429512.518728518
0.951,483798.02665330295,6429420.908377424,17463634.0,6429512.518728518
0.952,483798.02665330295,6429420.908377424,17463634.0,6429512.518728518
0.953,483798.02665330295,6429420.908377424,17463634.0,6429512.518728518
0.954,483798.02665330295,6429420.908377424,17463634.0,6429512.518728518
0.955,483798.02665330295,6429420.908377424,17463634.0,6429512.518728518
0.956,483798.02665330295,6429420.908377424,17463634.0,6429512.518728518
0.957,483798.02665330295,6429420.908377424,17463634.0,6429512.518728518
0.958,483798.02665330295,6429420.908377424,17463634.0,6429512.518728518
0.959,483798.02665330295,6429420.908377424,17463634.0,6429512.518728518
0.99,483798.02665330295,6429420.908377424,17463634.0,6429512.518728518
1.0,483798.02665330295,6429420.908377424,17463634.0,6429512.518728518
