d,d_grp,fd
153,"(152, 153]",0.0005003111897855161
154,"(153, 154]",0.0004971612330752469
155,"(154, 155]",0.0007170593535919966
156,"(155, 156]",0.0006219485912288872
157,"(156, 157]",0.0006708245698432583
158,"(157, 158]",0.0006151678128756096
159,"(158, 159]",0.0006409015597476252
160,"(159, 160]",0.0008120119084044752
161,"(160, 161]",0.0008155231597737532
162,"(161, 162]",0.0008084105023534251
163,"(162, 163]",0.0006187370666246636
164,"(163, 164]",0.0006032286536327736
165,"(164, 165]",0.00066195870724952
166,"(165, 166]",0.0005747708246332842
167,"(166, 167]",0.0005109056845428655
168,"(167, 168]",0.0005754639681033627
169,"(168, 169]",0.0007546436034337813
170,"(169, 170]",0.0006504943003525449
171,"(170, 171]",0.0005134491612634245
172,"(171, 172]",0.0005403298661028153
173,"(172, 173]",0.0007207391778975425
174,"(173, 174]",0.0006389283645811255
175,"(174, 175]",0.0006812568474178637
176,"(175, 176]",0.0004941938131946666
177,"(176, 177]",0.000475512013430331
178,"(177, 178]",0.0005174673957585849
179,"(178, 179]",0.0004627129227776686
180,"(179, 180]",0.0005835916460632194
181,"(180, 181]",0.0004900383465661308
182,"(181, 182]",0.000588112660124939
183,"(182, 183]",0.0005403764259770841
184,"(183, 184]",0.0004762198541047913
185,"(184, 185]",0.0005287607557549783
186,"(185, 186]",0.0005014104511646074
187,"(186, 187]",0.0004865889728235615
188,"(187, 188]",0.00039614601120987715
189,"(188, 189]",0.0005021285268967331
190,"(189, 190]",0.000618640461873769
191,"(190, 191]",0.0005855750996701332
192,"(191, 192]",0.0005854676090812145
193,"(192, 193]",0.0007150451301388096
194,"(193, 194]",0.000573861338549323
195,"(194, 195]",0.0006165766641368168
196,"(195, 196]",0.0006216667035653624
197,"(196, 197]",0.0007030426536122327
198,"(197, 198]",0.0003936333996883553
199,"(198, 199]",0.0004929394980048091
200,"(199, 200]",0.000546491700934212
201,"(200, 201]",0.0005622694626873623
202,"(201, 202]",0.0005563966161856628
203,"(202, 203]",0.00041828027979575095
204,"(203, 204]",0.0003567285402937623
205,"(204, 205]",0.00041546257909261654
206,"(205, 206]",0.0004580068630032421
207,"(206, 207]",0.0003661897879681142
208,"(207, 208]",0.0003410932405516172
209,"(208, 209]",0.0004886575234888341
210,"(209, 210]",0.0004753715579827012
211,"(210, 211]",0.0003644919012787936
212,"(211, 212]",0.00044039060839348384
213,"(212, 213]",0.0004703360234517668
214,"(213, 214]",0.0003827435110780761
215,"(214, 215]",0.0004563843094536141
216,"(215, 216]",0.0003715100090359938
217,"(216, 217]",0.00033528546367913355
218,"(217, 218]",0.0003080189675398492
219,"(218, 219]",0.00041343522492690206
220,"(219, 220]",0.0003062131263059479
221,"(220, 221]",0.000456693778472903
222,"(221, 222]",0.0003477695545192135
223,"(222, 223]",0.00043812313085535455
224,"(223, 224]",0.0005005034544384209
225,"(224, 225]",0.00047614676849147363
226,"(225, 226]",0.00041710476905810025
227,"(226, 227]",0.00040710922270356496
228,"(227, 228]",0.00035904685203664113
229,"(228, 229]",0.0003898955904419325
230,"(229, 230]",0.00039977585003947755
231,"(230, 231]",0.0004460334986078702
232,"(231, 232]",0.00039281236943548034
233,"(232, 233]",0.0003618585438433769
234,"(233, 234]",0.00047846678546567285
235,"(234, 235]",0.0004139961447222597
236,"(235, 236]",0.0004690146947811115
237,"(236, 237]",0.000506896139225782
238,"(237, 238]",0.0003991732663465606
239,"(238, 239]",0.0004854669048868316
240,"(239, 240]",0.0005386782049098138
241,"(240, 241]",0.0005896347995938765
242,"(241, 242]",0.0007345750483371315
243,"(242, 243]",0.0007047900826171919
244,"(243, 244]",0.0006379633768174805
245,"(244, 245]",0.0004886607633781305
246,"(245, 246]",0.0005407664631517413
247,"(246, 247]",0.0005792476268886991
248,"(247, 248]",0.0003831872978295637
249,"(248, 249]",0.00037232264527496634
250,"(249, 250]",0.00040561627313266224
251,"(250, 251]",0.00040977063345700354
252,"(251, 252]",0.00044279018348145896
253,"(252, 253]",0.00036489130814711915
254,"(253, 254]",0.00048372103122046794
255,"(254, 255]",0.0006018508404040861
256,"(255, 256]",0.0004553516587428826
257,"(256, 257]",0.0005641089402372646
258,"(257, 258]",0.0005979740710629705
259,"(258, 259]",0.00047846949441485343
260,"(259, 260]",0.00045483981262828315
261,"(260, 261]",0.0005129429261784055
262,"(261, 262]",0.0005335281475233336
263,"(262, 263]",0.0005285126764786879
264,"(263, 264]",0.0004257387608447366
265,"(264, 265]",0.00037768834894691243
266,"(265, 266]",0.00039542252622480606
267,"(266, 267]",0.0005241172067521655
268,"(267, 268]",0.00038012946946621633
269,"(268, 269]",0.000479369525767785
270,"(269, 270]",0.0004180789276901017
271,"(270, 271]",0.0003680997804428751
272,"(271, 272]",0.00043617806495619413
273,"(272, 273]",0.0005221252980802058
274,"(273, 274]",0.0003595498847223556
275,"(274, 275]",0.00033616918970029533
276,"(275, 276]",0.0004071968247513103
277,"(276, 277]",0.0003770950685864989
278,"(277, 278]",0.00029868679726434996
279,"(278, 279]",0.0003272323294051954
280,"(279, 280]",0.0004706198685803588
281,"(280, 281]",0.00035410665359922094
282,"(281, 282]",0.0004081401988331604
283,"(282, 283]",0.0004358121745966475
284,"(283, 284]",0.00039704907562410335
285,"(284, 285]",0.0004260098451158692
286,"(285, 286]",0.000537836437030653
287,"(286, 287]",0.0003061162069452659
288,"(287, 288]",0.0003532292986065366
289,"(288, 289]",0.0003429807971639705
290,"(289, 290]",0.000322233992968647
291,"(290, 291]",0.0002999337929796267
292,"(291, 292]",0.0003554047963851677
293,"(292, 293]",0.0003088141480977239
294,"(293, 294]",0.00019892791232910693
295,"(294, 295]",0.00019882579775567155
296,"(295, 296]",0.00030357739413458323
297,"(296, 297]",0.000268777415408952
298,"(297, 298]",0.00021075817350284302
299,"(298, 299]",0.0002550819376624237
300,"(299, 300]",0.0002012075421767138
301,"(300, 301]",0.00024141872687133978
302,"(301, 302]",0.00030082317068271246
303,"(302, 303]",0.0002472711464008392
304,"(303, 304]",0.00023477937861177877
305,"(304, 305]",0.000273205021383956
306,"(305, 306]",0.0002327662327108388
307,"(306, 307]",0.00037922068437496007
308,"(307, 308]",0.00034166096072773866
309,"(308, 309]",0.0002431410093431149
310,"(309, 310]",0.0003295050237329172
311,"(310, 311]",0.00031541565151032766
312,"(311, 312]",0.0002625871154052196
313,"(312, 313]",0.00039962760726968083
