half_hour,freq,activity
0,0.19724673859073205,all
1,0.3341077652555211,all
2,0.3373734381220286,all
3,0.27776686837954506,all
4,0.2925637481075713,all
5,0.30071818490569163,all
6,0.2724229957554049,all
7,0.20845878464539286,all
8,0.29059079832594065,all
9,0.3371449092389501,all
10,0.3437512943067072,all
11,0.3478760213754905,all
12,0.35857156291828945,all
13,0.381927312222592,all
14,0.4193032354134984,all
15,0.4708913162435309,all
16,0.5260359691792987,all
17,0.5821556461983075,all
18,0.6257203654318149,all
19,0.6703673077981949,all
20,0.71404750964426,all
21,0.7545141763434112,all
22,0.7929786571564867,all
23,0.8306255015819168,all
24,0.8523420799636693,all
25,0.8839711595575018,all
26,0.9135678426239988,all
27,0.9445313135733,all
28,0.9682096345633124,all
29,0.9847475243110391,all
30,0.988528239884186,all
31,0.9931212318924969,all
32,0.9940982050493676,all
33,1.0,all
34,0.9996730428986234,all
35,0.9998767210929236,all
36,0.9896908623042826,all
37,0.9683801785059084,all
38,0.935197687229231,all
39,0.9025628856424902,all
40,0.8629767129555411,all
41,0.8272721204020744,all
42,0.788086482346022,all
43,0.7572160796625373,all
44,0.7207800972295381,all
45,0.6896826274681972,all
46,0.6455921456230872,all
47,0.6027529690482235,all
0,0.227699744753011,holiday
1,0.3815206479210766,holiday
2,0.3895357566586491,holiday
3,0.3303549611241466,holiday
4,0.30690874404938895,holiday
5,0.2806009344336137,holiday
6,0.23353480279446875,holiday
7,0.15129345749269146,holiday
8,0.2329798540352282,holiday
9,0.2806303746860933,holiday
10,0.28183595302513315,holiday
11,0.27764366107203736,holiday
12,0.2788286312343415,holiday
13,0.28938443376090395,holiday
14,0.31209906056154335,holiday
15,0.34756720473634783,holiday
16,0.39112111425467583,holiday
17,0.43912491793529623,holiday
18,0.4816704988061978,holiday
19,0.5376879392117667,holiday
20,0.6112002496533411,holiday
21,0.6740861009624018,holiday
22,0.7395052859973327,holiday
23,0.7978102340205669,holiday
24,0.8363401644532503,holiday
25,0.8829131718633619,holiday
26,0.9235451363230891,holiday
27,0.960553005702577,holiday
28,0.9855448360325139,holiday
29,1.0,holiday
30,0.9981835364220084,holiday
31,0.9949966290910911,holiday
32,0.9918435780505254,holiday
33,0.9914902950207701,holiday
34,0.990752816696156,holiday
35,0.9854785954644347,holiday
36,0.9744870772011741,holiday
37,0.954876925024509,holiday
38,0.9355479272590241,holiday
39,0.9113097673925652,holiday
40,0.883572633518905,holiday
41,0.8515961032881818,holiday
42,0.8194311554415891,holiday
43,0.7901572403884936,holiday
44,0.7616325797610041,holiday
45,0.729794418716935,holiday
46,0.6900059174907484,holiday
47,0.6507811970995463,holiday
0,0.1809114758699107,non_holiday
1,0.3084872845159624,non_holiday
2,0.30939648918248974,non_holiday
3,0.24999511763603893,non_holiday
4,0.2834809012771541,non_holiday
5,0.30851260047724205,non_holiday
6,0.2896377430603525,non_holiday
7,0.23509920601912296,non_holiday
8,0.31687916402355976,non_holiday
9,0.36257085756733864,non_holiday
10,0.37178514415993325,non_holiday
11,0.379967986158679,non_holiday
12,0.3952624433374538,non_holiday
13,0.42474541184367465,non_holiday
14,0.46906570359927874,non_holiday
15,0.5282160854724718,non_holiday
16,0.5886727709476922,non_holiday
17,0.6483902303535483,non_holiday
18,0.6921528476478217,non_holiday
19,0.7309021812955552,non_holiday
20,0.7596198844579527,non_holiday
21,0.7887889350443066,non_holiday
22,0.8137410697946587,non_holiday
23,0.8409752576260717,non_holiday
24,0.8542791569350906,non_holiday
25,0.8783452330406567,non_holiday
26,0.9023136618670015,non_holiday
27,0.9300917812093362,non_holiday
28,0.9529600506897876,non_holiday
29,0.9704063645773283,non_holiday
30,0.9769111199998264,non_holiday
31,0.9852950430624501,non_holiday
32,0.9882946228174929,non_holiday
33,0.997228987209653,non_holiday
34,0.9971060239691522,non_holiday
35,1.0,non_holiday
36,0.9902808408081722,non_holiday
37,0.9682827170825596,non_holiday
38,0.92852363823636,non_holiday
39,0.891989812857181,non_holiday
40,0.8468565170879122,non_holiday
41,0.8095682760626013,non_holiday
42,0.7672052697705,non_holiday
43,0.7357650158007764,non_holiday
44,0.6956949122874273,non_holiday
45,0.6651776059346399,non_holiday
46,0.6192797681347272,non_holiday
47,0.5749623696318408,non_holiday
