deso,pop_nse,income
0114A0010,0.09113924050632916,280.5
0114C1010,0.09825870646766166,322.3
0114C1020,0.05341614906832293,311.1
0114C1030,0.06131078224101483,302.2
0114C1040,0.1743393009377664,240.7
0114C1050,0.04260299625468167,368.7
0114C1060,0.14394853236831529,265.2
0114C1070,0.062107904642409006,294.0
0114C1080,0.22634221707222868,223.1
0114C1090,0.21434460016488044,195.8
0114C1100,0.11233480176211452,291.1
0114C1110,0.12657636618402612,275.9
0114C1120,0.12104283054003728,248.3
0114C1130,0.2084139264990329,231.1
0114C1140,0.05908022826451831,323.9
0114C1150,0.12999026290165527,265.9
0114C1160,0.15340364333652923,267.8
0114C1170,0.1284949434860202,235.0
0114C1180,0.1070763500931099,262.0
0114C1190,0.13079150579150578,274.4
0114C1200,0.2644476956839795,226.0
0114C1210,0.2734615384615384,212.2
0114C1220,0.19175108538350216,258.7
0115A0010,0.10176125244618395,286.6
0115A0020,0.10288065843621397,271.1
0115A0030,0.06832797427652737,281.3
0115A0040,0.09500693481276001,273.1
0115B2010,0.05654761904761907,315.6
0115B3010,0.12109061748195671,283.6
0115C1010,0.04841208365608052,372.7
0115C1020,0.036394413880660226,352.7
0115C1030,0.055598455598455554,300.9
0115C1040,0.0359820089955023,333.2
0115C1050,0.05596738324684947,333.7
0115C1060,0.1071945919845485,213.7
0115C1070,0.14185814185814183,252.6
0115C1080,0.041888297872340385,296.1
0115C1090,0.12592047128129602,227.6
0115C1100,0.06155044799376708,321.6
0115C1110,0.07867298578199056,274.1
0115C1120,0.050396375990939934,304.7
0115C1130,0.05820533548908646,383.6
0117A0010,0.07468879668049788,324.0
0117A0020,0.07767489711934161,246.3
0117A0030,0.0851160673645881,282.8
0117C1010,0.06904231625835189,368.4
0117C1020,0.07350800582241634,349.6
0117C1030,0.03289473684210531,334.2
0117C1040,0.036632891660171474,394.1
0117C1050,0.13652572592969947,344.9
0117C1060,0.06906795395469734,305.4
0117C1070,0.05035650623885923,335.6
0117C1080,0.06068503350707366,327.6
0117C1090,0.08312128922815942,294.1
0117C1100,0.07998061076102758,261.5
0117C1110,0.19389509888220124,211.6
0117C1120,0.10160734787600456,245.0
0117C1130,0.12234042553191493,252.4
0117C1140,0.136,242.0
0117C1150,0.15083135391923985,275.3
0117C1160,0.08128628852166142,321.2
0117C1170,0.07513867876954106,302.0
0117C1180,0.12223071046600453,331.8
0117C1190,0.08919382504288165,296.6
0117C1200,0.077762619372442,300.2
0120A0010,0.05845323741007191,254.5
0120C1010,0.06810810810810808,294.6
0120C1020,0.06842105263157894,290.9
0120C1030,0.0296655879180151,350.2
0120C1040,0.08059570740254052,314.0
0120C1050,0.11485267588695125,257.4
