holiday,weekday,time_seq,deso_3,evenness_income,evenness_income_r,evenness_birth_region,evenness_background,Foreign background,Not Sweden,Lowest income group,type
0,0,1.0,01,0.18022110450184753,0.11273360802952605,8.141661097802457e-05,9.558633539658799e-05,0.27053045426369454,0.2043519967789172,0.20106000095214616,median
0,0,1.0,01,0.06666666666666667,0.027653755599035403,3.612011644036928e-05,3.926455519772823e-05,0.14283387285569757,0.10925672003452858,0.15,q5
0,0,1.0,01,0.35986061276347076,0.30990571082843216,0.00039283627557958365,0.0005344575792207628,0.7541534044829988,0.5299527664096008,0.3604999999999998,q95
0,0,1.0,01,0.10676646706586834,,9.650800885889356e-05,0.00011086397648622462,0.14647537956602394,0.11680497657739902,0.23486526946107783,housing
0,0,1.0,12,0.13868902762831886,0.09161749156030996,8.847195570113442e-05,9.727010090903698e-05,0.2614424300226653,0.20814209527760852,0.255,median
0,0,1.0,12,0.07333333333333333,0.03621691130574455,3.616157695054911e-05,3.358138079963701e-05,0.1111749790459287,0.0912921348314607,0.1788978953180383,q5
0,0,1.0,12,0.20500000000000002,0.17628374156874754,0.0001838770329346655,0.00022147009679515428,0.4441760927761965,0.33566452990014206,0.33,q95
0,0,1.0,12,0.10676646706586834,,9.650800885889356e-05,0.00011086397648622462,0.14647537956602394,0.11680497657739902,0.23486526946107783,housing
0,0,1.0,14,0.13395640802048728,0.09994360348772403,8.605039749131565e-05,9.401378347408275e-05,0.2048670062252405,0.1571211353269133,0.23,median
0,0,1.0,14,0.09600000000000003,0.032808800635697945,4.27590983512307e-05,5.0796244716244156e-05,0.10731421048026481,0.0869639111740104,0.16,q5
0,0,1.0,14,0.2696413336245129,0.21873436220759532,0.0002509254876043788,0.00029582808553099026,0.5730182599355527,0.38354860729058393,0.33599999999999997,q95
0,0,1.0,14,0.10676646706586834,,9.650800885889356e-05,0.00011086397648622462,0.14647537956602394,0.11680497657739902,0.23486526946107783,housing
0,0,2.0,01,0.17655790304765182,0.11299888999929247,7.789610758537223e-05,8.714956675197649e-05,0.2498335342041227,0.19233753649287272,0.2,median
0,0,2.0,01,0.06703644649185304,0.029262497513925192,1.8828730205941425e-05,2.6382542950547606e-05,0.16086802845801546,0.12256886905953414,0.15,q5
0,0,2.0,01,0.37233333333333324,0.3088040274283631,0.00031782031490372274,0.00039091432752023946,0.6326073981143552,0.44806186033089646,0.30949999999999994,q95
0,0,2.0,01,0.10676646706586834,,9.650800885889356e-05,0.00011086397648622462,0.14647537956602394,0.11680497657739902,0.23486526946107783,housing
0,0,2.0,12,0.1333333333333333,0.0974921107475256,8.554890704803575e-05,9.586693619507418e-05,0.24976164807863444,0.19463539550631184,0.255,median
0,0,2.0,12,0.0736666666666667,0.029702451712790113,3.591476562067664e-05,4.181295506011558e-05,0.11181954848613743,0.08732017703331288,0.16025384911356755,q5
0,0,2.0,12,0.24566666666666656,0.18014015107231532,0.00018623616294778628,0.00022504285252687362,0.47037262856603385,0.34364365706757005,0.33949999999999997,q95
0,0,2.0,12,0.10676646706586834,,9.650800885889356e-05,0.00011086397648622462,0.14647537956602394,0.11680497657739902,0.23486526946107783,housing
0,0,2.0,14,0.1363701729898567,0.1044169222415485,8.875384758497292e-05,9.673340846265039e-05,0.19525135440869845,0.15214908408021233,0.23,median
0,0,2.0,14,0.08766666666666667,0.028610694797930686,4.1176562795812964e-05,4.654235207090809e-05,0.09937271323188979,0.0782227420416908,0.16,q5
0,0,2.0,14,0.2852446111555144,0.21822701747345039,0.0002731940219100345,0.0003186124623002419,0.5925174788608721,0.39536918425906925,0.33849999999999997,q95
0,0,2.0,14,0.10676646706586834,,9.650800885889356e-05,0.00011086397648622462,0.14647537956602394,0.11680497657739902,0.23486526946107783,housing
0,0,3.0,01,0.17333333333333334,0.11241363980357974,7.606262021771538e-05,8.731438213599429e-05,0.24741833952651138,0.1945868466021734,0.2,median
0,0,3.0,01,0.06633333333333334,0.03012377775936159,3.210320621922763e-05,3.857092374461439e-05,0.15931455897414507,0.12167441802514263,0.1495,q5
0,0,3.0,01,0.36066666666666664,0.3043079124820293,0.000383272171317647,0.00045069180774053025,0.6865677288994745,0.5184087200332099,0.33049999999999996,q95
0,0,3.0,01,0.10676646706586834,,9.650800885889356e-05,0.00011086397648622462,0.14647537956602394,0.11680497657739902,0.23486526946107783,housing
0,0,3.0,12,0.12666666666666668,0.09634312239474463,8.72713421575162e-05,0.00010097814633843819,0.22997094229970944,0.1883808111585419,0.26,median
0,0,3.0,12,0.06666666666666667,0.03356325820673573,2.9819577541426118e-05,3.8808476134637046e-05,0.10848659568995207,0.08689126818973185,0.17326534753599063,q5
0,0,3.0,12,0.24000000000000002,0.1738484233325213,0.00016926272831174592,0.00020132251924254464,0.44767065021459707,0.33584683962804096,0.339,q95
0,0,3.0,12,0.10676646706586834,,9.650800885889356e-05,0.00011086397648622462,0.14647537956602394,0.11680497657739902,0.23486526946107783,housing
0,0,3.0,14,0.13999999999999999,0.10019650064717549,8.319214585879753e-05,9.679337853451129e-05,0.2019187861015961,0.15868634788888986,0.23,median
0,0,3.0,14,0.09233333333333334,0.03726738959599844,3.7201191832596986e-05,3.7159926117338316e-05,0.09708569745681203,0.07653624977445742,0.158994015400053,q5
0,0,3.0,14,0.33733333333333326,0.22819597101620964,0.0002954547057764497,0.0003452028442566887,0.6158030513437178,0.4119133019061282,0.37,q95
0,0,3.0,14,0.10676646706586834,,9.650800885889356e-05,0.00011086397648622462,0.14647537956602394,0.11680497657739902,0.23486526946107783,housing
