Type,d,d_grp,fd
All,123,"(122, 123]",0.0004417260857081632
All,124,"(123, 124]",0.00044861902467159087
All,125,"(124, 125]",0.0005765240451598387
All,126,"(125, 126]",0.0005967637461244167
All,127,"(126, 127]",0.0007080345297161379
All,128,"(127, 128]",0.0005883500637229176
All,129,"(128, 129]",0.0006424985420021876
All,130,"(129, 130]",0.0005265899531777879
All,131,"(130, 131]",0.0004342913543940407
All,132,"(131, 132]",0.0004727567451339769
All,133,"(132, 133]",0.0004677148659994479
All,134,"(133, 134]",0.000662670729684557
All,135,"(134, 135]",0.0007895923349559357
All,136,"(135, 136]",0.000850625429161967
All,137,"(136, 137]",0.0007408541535088399
All,138,"(137, 138]",0.0005023161808657499
All,139,"(138, 139]",0.0005718028872378633
All,140,"(139, 140]",0.0005798867856793514
All,141,"(140, 141]",0.00047551732256113856
All,142,"(141, 142]",0.0004008496015687138
All,143,"(142, 143]",0.00041096310189886416
All,144,"(143, 144]",0.0005011412035047748
All,145,"(144, 145]",0.00046103662645657364
All,146,"(145, 146]",0.0005763452669007903
All,147,"(146, 147]",0.0005905151839488661
All,148,"(147, 148]",0.000706576161361962
All,149,"(148, 149]",0.0005288550507120637
All,150,"(149, 150]",0.0005715222163688948
All,151,"(150, 151]",0.0005920968159366058
All,152,"(151, 152]",0.0005535572878006761
All,153,"(152, 153]",0.0005003111897855161
All,154,"(153, 154]",0.0004971612330752469
All,155,"(154, 155]",0.0007170593535919966
All,156,"(155, 156]",0.0006219485912288872
All,157,"(156, 157]",0.0006708245698432583
All,158,"(157, 158]",0.0006151678128756096
All,159,"(158, 159]",0.0006409015597476252
All,160,"(159, 160]",0.0008120119084044752
All,161,"(160, 161]",0.0008155231597737532
All,162,"(161, 162]",0.0008084105023534251
All,163,"(162, 163]",0.0006187370666246636
All,164,"(163, 164]",0.0006032286536327736
All,165,"(164, 165]",0.00066195870724952
All,166,"(165, 166]",0.0005747708246332842
All,167,"(166, 167]",0.0005109056845428655
All,168,"(167, 168]",0.0005754639681033627
All,169,"(168, 169]",0.0007546436034337813
All,170,"(169, 170]",0.0006504943003525449
All,171,"(170, 171]",0.0005134491612634245
All,172,"(171, 172]",0.0005403298661028153
All,173,"(172, 173]",0.0007207391778975425
All,174,"(173, 174]",0.0006389283645811255
All,175,"(174, 175]",0.0006812568474178637
All,176,"(175, 176]",0.0004941938131946666
All,177,"(176, 177]",0.000475512013430331
All,178,"(177, 178]",0.0005174673957585849
All,179,"(178, 179]",0.0004627129227776686
All,180,"(179, 180]",0.0005835916460632194
All,181,"(180, 181]",0.0004900383465661308
All,182,"(181, 182]",0.000588112660124939
All,183,"(182, 183]",0.0005403764259770841
All,184,"(183, 184]",0.0004762198541047913
All,185,"(184, 185]",0.0005287607557549783
All,186,"(185, 186]",0.0005014104511646074
All,187,"(186, 187]",0.0004865889728235615
All,188,"(187, 188]",0.00039614601120987715
All,189,"(188, 189]",0.0005021285268967331
All,190,"(189, 190]",0.000618640461873769
All,191,"(190, 191]",0.0005855750996701332
All,192,"(191, 192]",0.0005854676090812145
All,193,"(192, 193]",0.0007150451301388096
All,194,"(193, 194]",0.000573861338549323
All,195,"(194, 195]",0.0006165766641368168
All,196,"(195, 196]",0.0006216667035653624
All,197,"(196, 197]",0.0007030426536122327
All,198,"(197, 198]",0.0003936333996883553
All,199,"(198, 199]",0.0004929394980048091
All,200,"(199, 200]",0.000546491700934212
All,201,"(200, 201]",0.0005622694626873623
All,202,"(201, 202]",0.0005563966161856628
All,203,"(202, 203]",0.00041828027979575095
All,204,"(203, 204]",0.0003567285402937623
All,205,"(204, 205]",0.00041546257909261654
All,206,"(205, 206]",0.0004580068630032421
All,207,"(206, 207]",0.0003661897879681142
All,208,"(207, 208]",0.0003410932405516172
All,209,"(208, 209]",0.0004886575234888341
All,210,"(209, 210]",0.0004753715579827012
All,211,"(210, 211]",0.0003644919012787936
All,212,"(211, 212]",0.00044039060839348384
All,213,"(212, 213]",0.0004703360234517668
All,214,"(213, 214]",0.0003827435110780761
All,215,"(214, 215]",0.0004563843094536141
All,216,"(215, 216]",0.0003715100090359938
All,217,"(216, 217]",0.00033528546367913355
All,218,"(217, 218]",0.0003080189675398492
All,219,"(218, 219]",0.00041343522492690206
All,220,"(219, 220]",0.0003062131263059479
All,221,"(220, 221]",0.000456693778472903
All,222,"(221, 222]",0.0003477695545192135
All,223,"(222, 223]",0.00043812313085535455
All,224,"(223, 224]",0.0005005034544384209
All,225,"(224, 225]",0.00047614676849147363
All,226,"(225, 226]",0.00041710476905810025
All,227,"(226, 227]",0.00040710922270356496
All,228,"(227, 228]",0.00035904685203664113
All,229,"(228, 229]",0.0003898955904419325
All,230,"(229, 230]",0.00039977585003947755
All,231,"(230, 231]",0.0004460334986078702
All,232,"(231, 232]",0.00039281236943548034
All,233,"(232, 233]",0.0003618585438433769
All,234,"(233, 234]",0.00047846678546567285
All,235,"(234, 235]",0.0004139961447222597
All,236,"(235, 236]",0.0004690146947811115
All,237,"(236, 237]",0.000506896139225782
All,238,"(237, 238]",0.0003991732663465606
All,239,"(238, 239]",0.0004854669048868316
All,240,"(239, 240]",0.0005386782049098138
All,241,"(240, 241]",0.0005896347995938765
All,242,"(241, 242]",0.0007345750483371315
All,243,"(242, 243]",0.0007047900826171919
All,244,"(243, 244]",0.0006379633768174805
All,245,"(244, 245]",0.0004886607633781305
All,246,"(245, 246]",0.0005407664631517413
All,247,"(246, 247]",0.0005792476268886991
All,248,"(247, 248]",0.0003831872978295637
All,249,"(248, 249]",0.00037232264527496634
All,250,"(249, 250]",0.00040561627313266224
All,251,"(250, 251]",0.00040977063345700354
All,252,"(251, 252]",0.00044279018348145896
All,253,"(252, 253]",0.00036489130814711915
All,254,"(253, 254]",0.00048372103122046794
All,255,"(254, 255]",0.0006018508404040861
All,256,"(255, 256]",0.0004553516587428826
All,257,"(256, 257]",0.0005641089402372646
All,258,"(257, 258]",0.0005979740710629705
All,259,"(258, 259]",0.00047846949441485343
All,260,"(259, 260]",0.00045483981262828315
All,261,"(260, 261]",0.0005129429261784055
All,262,"(261, 262]",0.0005335281475233336
All,263,"(262, 263]",0.0005285126764786879
All,264,"(263, 264]",0.0004257387608447366
All,265,"(264, 265]",0.00037768834894691243
All,266,"(265, 266]",0.00039542252622480606
All,267,"(266, 267]",0.0005241172067521655
All,268,"(267, 268]",0.00038012946946621633
All,269,"(268, 269]",0.000479369525767785
All,270,"(269, 270]",0.0004180789276901017
All,271,"(270, 271]",0.0003680997804428751
All,272,"(271, 272]",0.00043617806495619413
All,273,"(272, 273]",0.0005221252980802058
All,274,"(273, 274]",0.0003595498847223556
All,275,"(274, 275]",0.00033616918970029533
All,276,"(275, 276]",0.0004071968247513103
All,277,"(276, 277]",0.0003770950685864989
All,278,"(277, 278]",0.00029868679726434996
All,279,"(278, 279]",0.0003272323294051954
All,280,"(279, 280]",0.0004706198685803588
All,281,"(280, 281]",0.00035410665359922094
All,282,"(281, 282]",0.0004081401988331604
All,283,"(282, 283]",0.0004358121745966475
All,284,"(283, 284]",0.00039704907562410335
All,285,"(284, 285]",0.0004260098451158692
All,286,"(285, 286]",0.000537836437030653
All,287,"(286, 287]",0.0003061162069452659
All,288,"(287, 288]",0.0003532292986065366
All,289,"(288, 289]",0.0003429807971639705
All,290,"(289, 290]",0.000322233992968647
All,291,"(290, 291]",0.0002999337929796267
All,292,"(291, 292]",0.0003554047963851677
All,293,"(292, 293]",0.0003088141480977239
All,294,"(293, 294]",0.00019892791232910693
All,295,"(294, 295]",0.00019882579775567155
All,296,"(295, 296]",0.00030357739413458323
All,297,"(296, 297]",0.000268777415408952
All,298,"(297, 298]",0.00021075817350284302
All,299,"(298, 299]",0.0002550819376624237
All,300,"(299, 300]",0.0002012075421767138
All,301,"(300, 301]",0.00024141872687133978
All,302,"(301, 302]",0.00030082317068271246
All,303,"(302, 303]",0.0002472711464008392
All,304,"(303, 304]",0.00023477937861177877
All,305,"(304, 305]",0.000273205021383956
All,306,"(305, 306]",0.0002327662327108388
All,307,"(306, 307]",0.00037922068437496007
All,308,"(307, 308]",0.00034166096072773866
All,309,"(308, 309]",0.0002431410093431149
All,310,"(309, 310]",0.0003295050237329172
All,311,"(310, 311]",0.00031541565151032766
All,312,"(311, 312]",0.0002625871154052196
All,313,"(312, 313]",0.00039962760726968083
All,314,"(313, 314]",0.000275653039737517
All,315,"(314, 315]",0.00025806774674186036
All,316,"(315, 316]",0.00024774871706592866
All,317,"(316, 317]",0.0002490496448861206
All,318,"(317, 318]",0.000202581586524484
All,319,"(318, 319]",0.00028353087109819953
All,320,"(319, 320]",0.0002784587717135217
All,321,"(320, 321]",0.00027997555303264026
All,322,"(321, 322]",0.00014843849550596515
All,323,"(322, 323]",0.00022229827102268246
All,324,"(323, 324]",0.00015999475783896972
All,325,"(324, 325]",0.00017301018615476348
All,326,"(325, 326]",0.00014976404561450491
All,327,"(326, 327]",0.0001935323858573883
All,328,"(327, 328]",0.0001916649335558387
All,329,"(328, 329]",0.00025908492249996767
All,330,"(329, 330]",0.00021008848870826479
All,331,"(330, 331]",0.0003429644197428795
All,332,"(331, 332]",0.00027798906732188306
All,333,"(332, 333]",0.0003786116613740801
All,334,"(333, 334]",0.0003116790201118575
All,335,"(334, 335]",0.00033260494951633493
All,336,"(335, 336]",0.0003067616476835792
All,337,"(336, 337]",0.00031114225104843495
All,338,"(337, 338]",0.0002613858852047007
All,339,"(338, 339]",0.0003501771090833846
All,340,"(339, 340]",0.00030208338753273537
All,341,"(340, 341]",0.0003213693798518264
All,342,"(341, 342]",0.00036540611492356424
All,343,"(342, 343]",0.0003444746446443692
All,344,"(343, 344]",0.0003121795763376848
All,345,"(344, 345]",0.0004278247108622183
All,346,"(345, 346]",0.00040454998626841224
All,347,"(346, 347]",0.00039885645754859076
All,348,"(347, 348]",0.0004150656405033227
All,349,"(348, 349]",0.00035668740913341
All,350,"(349, 350]",0.00033958984272125357
All,351,"(350, 351]",0.00024263171332870398
All,352,"(351, 352]",0.0003138893174456998
All,353,"(352, 353]",0.00027077074031298207
All,354,"(353, 354]",0.00033412051737568947
All,355,"(354, 355]",0.00040398884898391505
All,356,"(355, 356]",0.00042661090733651713
All,357,"(356, 357]",0.00022744572905948607
All,358,"(357, 358]",0.0001886452464553726
All,359,"(358, 359]",0.000206176283640353
All,360,"(359, 360]",0.00022728424891532874
All,361,"(360, 361]",0.00017802782351062962
All,362,"(361, 362]",0.00020296578552912291
All,363,"(362, 363]",0.00019016455743553107
All,364,"(363, 364]",0.00020140523328458746
All,365,"(364, 365]",0.00023307587971395266
All,366,"(365, 366]",0.00025396950886401044
All,367,"(366, 367]",0.0003322204381731688
All,368,"(367, 368]",0.000316899607508402
All,369,"(368, 369]",0.00031145060783135855
All,370,"(369, 370]",0.0003122319132663594
All,371,"(370, 371]",0.0002703156758920567
All,372,"(371, 372]",0.00033237546949082256
All,373,"(372, 373]",0.0002748797377340013
All,374,"(373, 374]",0.00026827450399535656
All,375,"(374, 375]",0.000162975883007637
All,376,"(375, 376]",0.00018341635421362278
All,377,"(376, 377]",0.00024378454873647605
All,378,"(377, 378]",0.000296238467483255
All,379,"(378, 379]",0.0002761892862433944
All,380,"(379, 380]",0.00031424626295963677
All,381,"(380, 381]",0.0002829710269582204
All,382,"(381, 382]",0.00032708498345328853
All,383,"(382, 383]",0.0002623291645763282
All,384,"(383, 384]",0.00037336406671439166
All,385,"(384, 385]",0.0005618157614541384
All,386,"(385, 386]",0.0004276345308708819
All,387,"(386, 387]",0.0005205113923892014
All,388,"(387, 388]",0.0003783337175452879
All,389,"(388, 389]",0.00046914430403522013
All,390,"(389, 390]",0.00040140139156614085
All,391,"(390, 391]",0.0004927078088400278
All,392,"(391, 392]",0.000523370810008044
All,393,"(392, 393]",0.0006673979857151673
All,394,"(393, 394]",0.0005535227831231184
All,395,"(394, 395]",0.0008506456183764296
All,396,"(395, 396]",0.0008293899628716135
All,397,"(396, 397]",0.000979773052269271
All,398,"(397, 398]",0.0009403367227080108
All,399,"(398, 399]",0.0009727932965158565
All,400,"(399, 400]",0.0006080143348624102
All,401,"(400, 401]",0.0006205099071170716
All,402,"(401, 402]",0.0005495752482914895
All,403,"(402, 403]",0.0005436639524796594
All,404,"(403, 404]",0.0005656265436391638
All,405,"(404, 405]",0.00046181390586684566
All,406,"(405, 406]",0.00040498054690888487
All,407,"(406, 407]",0.0004492363350209264
All,408,"(407, 408]",0.00031512687745774664
All,409,"(408, 409]",0.00025242610825579694
All,410,"(409, 410]",0.0002892261810132429
All,411,"(410, 411]",0.0002393167139473446
All,412,"(411, 412]",0.00027604378947226736
All,413,"(412, 413]",0.0001651794871904019
All,414,"(413, 414]",0.00019015309046539319
All,415,"(414, 415]",0.00020305223381694183
All,416,"(415, 416]",0.00025288335089060815
All,417,"(416, 417]",0.00019765547154842322
All,418,"(417, 418]",0.00016955315224677437
All,419,"(418, 419]",0.00022284047614087917
All,420,"(419, 420]",0.00030241565448596244
All,421,"(420, 421]",0.0002465068472553087
All,422,"(421, 422]",0.00035906396493952576
All,423,"(422, 423]",0.00029485289119912395
All,424,"(423, 424]",0.0002903606203702853
All,425,"(424, 425]",0.0002796092054026054
All,426,"(425, 426]",0.0003028436654448926
All,427,"(426, 427]",0.00017887974310581414
All,428,"(427, 428]",0.00023916962136922033
All,429,"(428, 429]",0.00021495497177236587
All,430,"(429, 430]",0.0002999820879096641
All,431,"(430, 431]",0.0002228455188321368
All,432,"(431, 432]",0.00025437076351379317
All,433,"(432, 433]",0.000276843024290767
All,434,"(433, 434]",0.00025189102396302527
All,435,"(434, 435]",0.00023402112647909236
All,436,"(435, 436]",0.00022496409384968854
All,437,"(436, 437]",0.00014985137573563206
All,438,"(437, 438]",0.00019235988836754768
All,439,"(438, 439]",0.00010903186965378842
All,440,"(439, 440]",0.00011333699914830585
All,441,"(440, 441]",0.00012219237145090722
All,442,"(441, 442]",0.00016405993936479164
All,443,"(442, 443]",0.0001237565319827877
All,444,"(443, 444]",0.00014978199554789752
All,445,"(444, 445]",0.00018029059026899956
All,446,"(445, 446]",0.00024900561514570624
All,447,"(446, 447]",0.00013918273447009893
All,448,"(447, 448]",0.0002103702854607761
All,449,"(448, 449]",0.00018030788169250876
All,450,"(449, 450]",0.00010081684212095209
All,451,"(450, 451]",0.00017126570273548597
All,452,"(451, 452]",0.00013614080182942638
All,453,"(452, 453]",0.00013634261169824614
All,454,"(453, 454]",0.00011439192020302913
All,455,"(454, 455]",0.00014450146873923352
All,456,"(455, 456]",9.440149841374117e-05
All,457,"(456, 457]",0.00010162512164591836
All,458,"(457, 458]",0.00011305630423054657
All,459,"(458, 459]",0.0001493408621285644
All,460,"(459, 460]",0.00017217241812949867
All,461,"(460, 461]",0.00020339830802792986
All,462,"(461, 462]",0.0002689570815113777
All,463,"(462, 463]",0.00023279065797114195
All,464,"(463, 464]",0.0001681395234058828
All,465,"(464, 465]",0.00020473292868868396
All,466,"(465, 466]",0.00014966853833350594
All,467,"(466, 467]",0.00023242544828566981
All,468,"(467, 468]",0.00021269178380588962
All,469,"(468, 469]",0.0002017622198948034
All,470,"(469, 470]",0.00011240460737887
All,471,"(470, 471]",0.00019742727859129561
All,472,"(471, 472]",0.00018533365162314068
All,473,"(472, 473]",0.0001524701265550208
All,474,"(473, 474]",0.00013280793700536393
All,475,"(474, 475]",0.0001751695182086303
All,476,"(475, 476]",0.0001788491888107022
All,477,"(476, 477]",0.00015484391781602026
All,478,"(477, 478]",0.0001766610430765431
All,479,"(478, 479]",0.0001452421769203878
All,480,"(479, 480]",0.0002501363408210219
All,481,"(480, 481]",0.00022244255834181367
All,482,"(481, 482]",0.0001773731740294447
All,483,"(482, 483]",0.00026027729207806155
All,484,"(483, 484]",0.0003207331553192522
All,485,"(484, 485]",0.0003200160670793432
All,486,"(485, 486]",0.00030028350355144694
All,487,"(486, 487]",0.00016699572599428438
All,488,"(487, 488]",0.0001127515416930572
All,489,"(488, 489]",0.00014317098669127537
All,490,"(489, 490]",0.0001052176930527456
All,491,"(490, 491]",0.0001858215897852676
All,492,"(491, 492]",0.00019711207430320987
All,493,"(492, 493]",0.00023804349363256165
All,494,"(493, 494]",0.0002626040756628747
All,495,"(494, 495]",0.00035641567365669765
All,496,"(495, 496]",0.00022551720966373999
All,497,"(496, 497]",0.0002583477189336772
All,498,"(497, 498]",0.0002582879591270069
All,499,"(498, 499]",0.000245437402171074
All,500,"(499, 500]",0.0001615472542539637
All,501,"(500, 501]",0.00021915776287148459
All,502,"(501, 502]",0.00021438829586044084
All,503,"(502, 503]",0.00020621348753016154
All,504,"(503, 504]",0.00019212033594153563
All,505,"(504, 505]",0.00015597924001275969
All,506,"(505, 506]",0.00024747771572075503
All,507,"(506, 507]",0.0002514320122594176
All,508,"(507, 508]",0.0002653079140349264
All,509,"(508, 509]",0.0002498726731555186
All,510,"(509, 510]",0.00029638269273451795
All,511,"(510, 511]",0.000359873336019634
All,512,"(511, 512]",0.0006084631090599938
All,513,"(512, 513]",0.0006025870173809782
All,514,"(513, 514]",0.0006742641316519663
All,515,"(514, 515]",0.0006773545854331855
All,516,"(515, 516]",0.00046618046786708233
All,517,"(516, 517]",0.0003707247467745215
All,518,"(517, 518]",0.0002863704755356317
All,519,"(518, 519]",0.00024107269604124078
All,520,"(519, 520]",0.00025058827530793226
All,521,"(520, 521]",0.00020507713403682695
All,522,"(521, 522]",0.0002360366940219946
All,523,"(522, 523]",0.00017984313751392156
All,524,"(523, 524]",0.00014473424618227133
All,525,"(524, 525]",8.361884874849942e-05
All,526,"(525, 526]",0.00010275751542411057
All,527,"(526, 527]",9.367616191953201e-05
All,528,"(527, 528]",8.199595144649985e-05
All,529,"(528, 529]",8.337227081119073e-05
All,530,"(529, 530]",6.930029913410275e-05
All,531,"(530, 531]",9.3256949749538e-05
All,532,"(531, 532]",9.745505051109072e-05
All,533,"(532, 533]",0.00011976425448073588
All,534,"(533, 534]",0.00017436553242592147
All,535,"(534, 535]",0.00010447805341448605
All,536,"(535, 536]",8.359253055832782e-05
All,537,"(536, 537]",6.49071117054943e-05
All,538,"(537, 538]",8.278752824202063e-05
All,539,"(538, 539]",5.966189471243899e-05
All,540,"(539, 540]",5.275570744282903e-05
All,541,"(540, 541]",0.00015451173048012783
All,542,"(541, 542]",4.646750747249968e-05
All,543,"(542, 543]",3.290027300227318e-05
All,544,"(543, 544]",3.613541690438619e-05
All,545,"(544, 545]",5.0186975420955037e-05
All,546,"(545, 546]",9.037984130202345e-05
All,547,"(546, 547]",6.947408989380707e-05
All,548,"(547, 548]",8.652528452118048e-05
All,549,"(548, 549]",0.00010734621438209014
All,550,"(549, 550]",5.575009882965191e-05
All,551,"(550, 551]",5.582488000529182e-05
All,552,"(551, 552]",7.897377489536896e-05
All,553,"(552, 553]",8.066082365256942e-05
All,554,"(553, 554]",4.9087087616877735e-05
All,555,"(554, 555]",2.3990844291141946e-05
All,556,"(555, 556]",3.7691330162622206e-05
All,557,"(556, 557]",4.4687311763820686e-05
All,558,"(557, 558]",2.9748600404997035e-05
All,559,"(558, 559]",2.3900211761870478e-05
All,560,"(559, 560]",3.8981712127797315e-05
All,561,"(560, 561]",5.686950305568398e-05
All,562,"(561, 562]",3.279256323383514e-05
All,563,"(562, 563]",2.651692330337623e-05
All,564,"(563, 564]",1.788738826449249e-05
All,565,"(564, 565]",3.5056017072793494e-05
All,566,"(565, 566]",4.32523417824437e-05
All,567,"(566, 567]",2.288858530834664e-05
All,568,"(567, 568]",3.709273481827216e-05
All,569,"(568, 569]",5.2687029070632144e-05
All,570,"(569, 570]",4.302400451747933e-05
All,571,"(570, 571]",3.085420356298532e-05
All,572,"(571, 572]",2.986985533876459e-05
All,573,"(572, 573]",4.653139734880869e-05
All,574,"(573, 574]",4.649108741297396e-05
All,575,"(574, 575]",5.6939322426953685e-05
All,576,"(575, 576]",3.696328174678584e-05
All,577,"(576, 577]",2.766599478468754e-05
All,578,"(577, 578]",3.650059100433552e-05
All,579,"(578, 579]",4.18219757608598e-05
All,580,"(579, 580]",2.085413394304621e-05
All,581,"(580, 581]",2.6387107931193615e-05
All,582,"(581, 582]",2.971068540707821e-05
All,583,"(582, 583]",3.0827827379716404e-05
All,584,"(583, 584]",1.9753975692157973e-05
All,585,"(584, 585]",2.0009302295564734e-05
All,586,"(585, 586]",2.2113441861548384e-05
All,587,"(586, 587]",4.179061512463415e-05
All,588,"(587, 588]",5.331860127660689e-05
All,589,"(588, 589]",1.721563144579317e-05
All,590,"(589, 590]",4.500729440359643e-05
All,591,"(590, 591]",2.9397188883341297e-05
All,592,"(591, 592]",3.012101500569418e-05
All,593,"(592, 593]",2.6071530176630467e-05
All,594,"(593, 594]",6.1021409142614276e-05
All,595,"(594, 595]",0.00010673763292676707
All,596,"(595, 596]",2.913497047209864e-05
All,597,"(596, 597]",4.69389355578762e-05
All,598,"(597, 598]",3.5264736708327094e-05
All,599,"(598, 599]",4.9294013023410874e-05
All,600,"(599, 600]",3.084814478821347e-05
All,601,"(600, 601]",4.4607617735692976e-05
All,602,"(601, 602]",8.535814983361538e-05
All,603,"(602, 603]",8.043972937731192e-05
All,604,"(603, 604]",3.484695165035449e-05
All,605,"(604, 605]",2.8768006327793774e-05
All,606,"(605, 606]",2.6335308978943096e-05
All,607,"(606, 607]",3.021774935784386e-05
All,608,"(607, 608]",3.0254607415727744e-05
All,609,"(608, 609]",3.295486615094263e-05
All,610,"(609, 610]",2.4672395472997297e-05
All,611,"(610, 611]",2.2523349168691584e-05
All,612,"(611, 612]",3.238163076736974e-05
All,613,"(612, 613]",4.247829169728164e-05
All,614,"(613, 614]",7.985074026480145e-05
All,615,"(614, 615]",8.458984161627376e-05
All,616,"(615, 616]",3.9819189555344714e-05
All,617,"(616, 617]",5.965268551253399e-05
All,618,"(617, 618]",3.0290848865827293e-05
All,619,"(618, 619]",5.5981829025876165e-05
All,620,"(619, 620]",0.0001081309448747413
All,621,"(620, 621]",7.242615444190241e-05
All,622,"(621, 622]",8.348806956445944e-05
All,623,"(622, 623]",5.737874456789722e-05
All,624,"(623, 624]",4.950973684524674e-05
All,625,"(624, 625]",4.9316671322433665e-05
All,626,"(625, 626]",4.32417704507301e-05
All,627,"(626, 627]",3.719096373443664e-05
All,628,"(627, 628]",5.375537218565629e-05
All,629,"(628, 629]",7.900409013549324e-05
All,630,"(629, 630]",6.114529947838233e-05
All,631,"(630, 631]",3.607911068449418e-05
All,632,"(631, 632]",4.78249812388375e-05
